title,url,publish_date,media_name,facebook_share_count
Junior doctors in Sierra Leone strike over lack of Ebola care,http://feeds.foxnews.com/~r/foxnews/health/~3/eG0Uvo8gGOk/,12/10/2014 12:05,Fox News,6
"Fear, hope mark life inside Ebola center in Sierra Leone, doctor says",http://feeds.foxnews.com/~r/foxnews/health/~3/h5QRr1ExMtQ/,12/9/2014 12:15,Fox News,4
Another Possible Hate Crime: Horrific Hit And Run Kills 15 Year Old Somali Boy In Kansas City ,http://www.breitbart.com/InstaBlog/2014/12/06/Another-Possible-Hate-Crime-Horrific-Hit-And-Run-Kills-15-Year-Old-Somali-Boy-In-Kansas-City,12/6/2014 18:02,Breitbart,20
Third member of U.N. mission in Liberia contracts Ebola,http://feeds.foxnews.com/~r/foxnews/health/~3/oQp1uZhOm7s/,12/5/2014 12:09,Fox News,3
NBC woman sorry for Ebola mess,http://www.foxnews.com/entertainment/2014/12/03/nbc-nancy-snyderman-returns-with-apology-for-breaking-ebola-quarantine/,12/3/2014 15:24,Fox News,21
35 US hospitals designated as Ebola treatment centers,http://feeds.foxnews.com/~r/foxnews/health/~3/zJcvM-4CA88/,12/2/2014 17:25,Fox News,39
"WHO says Liberia, Guinea meeting Ebola targets",http://feeds.foxnews.com/~r/foxnews/health/~3/_HxwNp6yhK8/,12/1/2014 18:54,Fox News,11
Obama Tells Americans Not To Be Afraid Of Ebola; Schedules Photo-Op With Returning Workers,http://www.breitbart.com/Big-Government/2014/10/28/Obama-Tells-Americans-Not-To-Be-Afraid-Of-Ebola-Schedules-Photo-Op-With-Returning-Workers,10/28/2014 19:42,Breitbart,15
"The GOP and School Reform    , by Frederick M. Hess, Max Eden, National Review",http://www.nationalreview.com/article/391182/gop-and-school-reform-frederick-m-hess-max-eden,10/27/2014 0:00,National Review,7
"DO NOT PANIC: Ebola fear an epidemic in US, official says",http://www.foxnews.com/health/2014/10/24/ebola-fear-epidemic-in-us-official-says/,10/24/2014 9:50,Fox News,1684
"Obama Attends $32,400 Democratic Fundraiser as Ebola Hits NYC",http://www.breitbart.com/Big-Government/2014/10/23/Obama-Attends-32-400-Democratic-Fundraiser-as-Ebola-Hits-NYC,10/24/2014 2:30,Breitbart,897
Ted Cruz Wants to Give the President Even More Power,http://reason.com/archives/2014/10/23/should-we-strip-terrorists-of-citizenshi,10/23/2014 12:00,Reason.com,96
GOP Rep: New DHS Ebola 'Travel Restrictions' Are 'Nothing of the Sort',http://www.breitbart.com/Big-Government/2014/10/21/Murphy-New-DHS-Ebola-Travel-Restrictions-Are-Nothing-of-the-Sort,10/21/2014 21:36,Breitbart,14
Ebola threat at hotels?,http://www.foxnews.com/travel/2014/10/20/hotels-are-stepping-up-measures-to-protect-against-ebola/,10/20/2014 17:07,Fox News,47
GOP Rep: Obama's Ebola Misinformation Could Lead to Public Panic,http://www.breitbart.com/Breitbart-TV/2014/10/19/GOP-Rep-Obamas-Ebola-misinformation-could-lead-to-Public-panic,10/19/2014 18:04,Breitbart,10
'Not the optimal way': Doctor admits protocols during Ebola care inadequate,http://www.foxnews.com/politics/2014/10/19/fauci-tries-to-calm-us-after-missteps-on-ebola-amid-concerns-americans-have/,10/19/2014 15:28,Fox News,813
Ted Cruz Says ‘Common Sense Dictates’ An Ebola Travel Ban,http://dailycaller.com/2014/10/15/ted-cruz-says-common-sense-dictates-an-ebola-travel-ban/,10/15/2014 16:15,Daily Caller,14
Texas nurse infected with Ebola identified,http://feeds.foxnews.com/~r/foxnews/health/~3/iuVvRY7zZ8w/,10/13/2014 20:29,Fox News,151
Democrats Blame Republicans For Ebola,http://dailycaller.com/2014/10/13/democrats-blame-republicans-for-ebola/,10/13/2014 10:16,Daily Caller,582
OPINION EXCLUSIVE Ebola travel ban needed? CDC chief doesn't think so,http://www.foxnews.com/opinion/2014/10/09/cdc-chief-why-dont-support-travel-ban-to-combat-ebola-outbreak/,10/10/2014 12:34,Fox News,28950
Three in Four Americans Concerned About Ebola Outbreak,http://www.breitbart.com/Big-Government/2014/10/08/3-in-4-Americans-Concerned-About-Ebola-Outbreak,10/9/2014 2:04,Breitbart,62
CDC: Announces Beefed Up Ebola Travel Screenings,http://www.breitbart.com/Breitbart-TV/2014/10/08/CDC-Announces-Beefed-Up-Ebola-Travel-Screenings,10/8/2014 21:32,Breitbart,44
"Obama Retreats On Ebola, Accepts Tighter Security",http://dailycaller.com/2014/10/08/obama-retreats-on-ebola-accepts-tighter-security/,10/8/2014 15:21,Daily Caller,11
1976 Ebola outbreak's lesson: Behaviors must change,http://feeds.foxnews.com/~r/foxnews/health/~3/MB4Nq-fMa1c/,10/7/2014 17:52,Fox News,30
Homeless Dallas Man May Have Been Exposed to Ebola,http://www.breitbart.com/Breitbart-Texas/2014/10/06/Homeless-Dallas-Man-May-Have-Been-Exposed-to-Ebola,10/6/2014 12:59,Breitbart,24
Smart Meter Opponent Who Was Arrested for Filming Cops Last Year Found Not Guilty,http://www.theblaze.com/stories/2014/10/02/smart-meter-opponent-who-was-arrested-for-filming-cops-last-year-found-not-guilty/,10/2/2014 11:44,Blaze,74
Health experts question 2-day delay in admitting Texas Ebola patient,http://feeds.foxnews.com/~r/foxnews/health/~3/AyL2ZuWyleA/,10/1/2014 15:57,Fox News,21
