,Outlets,Facebook_Shares
0,Fox News,627721
4,Blaze,424939
1,Breitbart,345456
5,Daily Caller,136594
3,National Review,66065
2,Washington Times,55861
9,Reason.com,5263
6,Epoch Times,3422
7,Federalist,68
8,The American Conservative,0
