,News Outlets,Num_articles
10,Federalist,109
9,The American Conservative,275
4,Reason.com,1133
7,National Review,1287
8,Blaze,2111
1,the-dispatch.com,4010
2,Epoch Times,5711
6,Daily Caller,5740
5,Breitbart,8796
3,Fox News,22579
0,Washington Times,27626
