title,url,publish_date,media_name,facebook_share_count
"Geraldo Rivera To Dan Bongino: ‘You’re Lucky You’re Not In Front Of Me, Big Guy’",https://dailycaller.com/2020/03/13/geraldo-rivera-dan-bongino-argue-hannity/,3/13/2021 0:00,Daily Caller,312
Superstar Post Malone Faces Backlash For Not Canceling Concert Amid Coronavirus Concerns,https://dailycaller.com/2020/03/13/post-malone-backlash-not-canceling-concert-coronavirus/,3/13/2021 0:00,Daily Caller,6
"REPORT: Canceling March Madness Was A $1 Billion Decision, CBS Could Lose More Than $650 Million In TV Revenue",https://dailycaller.com/2020/03/13/march-madness-losses-1-billion-cbs-tv-revenue/,3/13/2021 0:00,Daily Caller,8
Tucker Carlson: Spread of coronavirus is revealing a 'terrifying situation',https://www.foxnews.com/media/tucker-carlson-coronavirus-pandemic-terrifying-situation-china-drugs,3/11/2021 0:00,Fox News,939
‘Oh F*ck!’ — Hot Mic Catches Trump’s Reaction After Discovering An Ink Stain On His Shirt Before Coronavirus Address,https://dailycaller.com/2020/03/11/hot-mic-donald-trump-ink-on-my-shirt/,3/11/2021 0:00,Daily Caller,277
Coronavirus prompts Disney Cruise Line to modify cancellation rules | Fox Business,https://www.foxbusiness.com/healthcare/disney-cruise-line-institutes-temporary-cancellation-policy-over-coronavirus-threat,3/7/2021 0:00,Fox News,34
Pirates sanitize LECOM Park as proactive measure vs. virus,https://www.foxnews.com/sports/pirates-sanitize-lecom-park-as-proactive-measure-vs-virus,3/5/2021 0:00,Fox News,4
CNN blasted for condemning Trump's coronavirus task force for its 'lack of diversity',https://www.foxnews.com/media/cnn-coronavirus-trump-lack-of-diversity,1/31/2021 0:00,Fox News,3530
"US declares emergency over coronavirus, announces new travel restrictions | Fox Business",https://www.foxbusiness.com/healthcare/us-declares-emergency-new-entry-restrictions-due-to-virus,1/31/2021 0:00,Fox News,395
Netizens Question China&#8217;s Plan to Bring Back Overseas Chinese,https://www.theepochtimes.com/netizens-question-chinas-plan-to-bring-back-overseas-chinese_3222605.html,1/31/2021 0:00,Epoch Times,34
Coronavirus Death Toll Surpasses 200 As Outbreak Impacts Travelers Worldwide,https://dailycaller.com/2020/01/30/coronavirus-outbreak-international-infected/,1/30/2021 0:00,Daily Caller,4
