title,url,publish_date,media_name,facebook_share_count
Immigrants Seeking Naturalization Won’t Be Penalized For Coronavirus Test,https://dailycaller.com/2020/03/17/immigrants-coronavirus-trump-public-charge/,3/17/2021 0:00,Daily Caller,0
"NFL free agency: Winners and losers as franchise tag window closes, negotiating period begins",https://www.the-dispatch.com/zz/sports/20200317/nfl-free-agency-winners-and-losers-as-franchise-tag-window-closes-negotiating-period-begins?rssfeed=true,3/17/2021 0:00,the-dispatch.com,0
Apple temporarily shuts stores outside China to fight virus,https://www.washingtontimes.com/news/2020/mar/14/apple-temporarily-shuts-stores-worlwide-to-fight-v/?utm_source=RSS_Feed&utm_medium=RSS,3/14/2021 0:00,Washington Times,0
"Gobert pledges $500,000 to help with relief, NBA shutdown",https://www.washingtontimes.com/news/2020/mar/14/gobert-pledges-500000-to-help-with-relief-nba-shut/?utm_source=RSS_Feed&utm_medium=RSS,3/14/2021 0:00,Washington Times,0
Pelosi on coronavirus: 'We will come out stronger than before',https://www.foxnews.com/politics/pelosi-holds-news-conference-on-coronavirus-relief-legislation,3/13/2021 0:00,Fox News,109
"Coronavirus concerns: TSA says to keep phones, wallets, keys out of airport bins",https://www.foxnews.com/travel/coronavirus-concerns-tsa-airport-bins,3/12/2021 0:00,Fox News,467
Coronavirus price tag expected to be staggering,https://www.washingtontimes.com/news/2020/mar/12/coronavirus-price-tag-expected-be-staggering/?utm_source=RSS_Feed&utm_medium=RSS,3/12/2021 0:00,Washington Times,0
Celtics clinch playoff spot with 114-111 win over Pacers,https://www.washingtontimes.com/news/2020/mar/10/celtics-clinch-playoff-spot-with-114-111-win-over-/?utm_source=RSS_Feed&utm_medium=RSS,3/10/2021 0:00,Washington Times,0
DC church reports its rector tests positive for coronavirus,https://www.the-dispatch.com/ZZ/news/20200308/dc-church-reports-its-rector-tests-positive-for-coronavirus?rssfeed=true,3/8/2021 0:00,the-dispatch.com,0
Coronavirus toilet paper shortage has U.S. retailers limiting purchases | Fox Business,https://www.foxbusiness.com/lifestyle/coronavirus-toilet-paper-australia-shortage-costco-buying,3/5/2021 0:00,Fox News,964
,,,,
Paul Krugman admits economy doing 'pretty well' after predicting Trump would lead to global recession,https://www.foxnews.com/media/paul-krugman-trump-economy,1/31/2021 0:00,Fox News,683
Pentagon Issues Guidance to Troops as Coronavirus Continues to Spread,https://www.theepochtimes.com/pentagon-issues-guidance-to-troops-as-coronavirus-continues-to-spread_3223203.html,1/31/2021 0:00,Epoch Times,78
"Chinese Officials at Coronavirus Epicenter Get Preventive Treatment, Ordinary Citizens Turned Away by Hospitals",https://www.theepochtimes.com/chinese-officials-at-coronavirus-epicenter-get-preventive-treatment-ordinary-citizens-turned-away-by-hospitals_3222414.html,1/31/2021 0:00,Epoch Times,54
Chinese Media: 'Local Negligence' Worsened Viral Outbreak,https://www.breitbart.com/asia/2020/01/31/chinese-media-local-negligence-worsened-viral-outbreak/,1/31/2021 0:00,Breitbart,22
Coronavirus shutting down some automakers | Fox Business,https://www.foxbusiness.com/markets/coronavirus-shutting-down-some-automakers,1/31/2021 0:00,Fox News,9
China Turns Construction of Coronavirus Hospitals into Reality TV Program,http://feedproxy.google.com/~r/breitbart/~3/tYybuDl7cxQ/,1/29/2021 0:00,Breitbart,0
Hong Kong halts trains from mainland China as coronavirus spreads,https://www.foxnews.com/health/hong-kong-halts-trains-from-mainland-china-as-coronavirus-spreads,1/28/2021 0:00,Fox News,50
"Chinese Citizens Report Worsening Spread of Virus, as Officials Hint at Severity of Crisis",https://www.theepochtimes.com/chinese-citizens-report-worsening-virus-spread-as-officials-hint-at-severity-of-crisis_3219254.html,1/28/2021 0:00,Epoch Times,1552
Coronavirus: Outrage over Chinese blogger eating 'bat soup' sparks apology,https://www.foxnews.com/food-drink/coronavirus-chinese-blogger-eats-bat-soup,1/28/2021 0:00,Fox News,279
China extends holiday to contain virus as death toll rises | Fox Business,https://www.foxbusiness.com/lifestyle/china-extends-holiday-to-contain-virus-as-death-toll-rises,1/27/2021 0:00,Fox News,35
Coronavirus outbreak in China shuts Hong Kong Disneyland,https://www.foxnews.com/travel/hong-kong-disneyland-closes-coronavirus,1/26/2021 0:00,Fox News,113
Mexico Rules Out Both Potential Cases of Chinese Coronavirus in Border State near Texas,https://www.breitbart.com/border/2020/01/23/mexico-clears-both-cases-of-chinese-coronavirus-in-border-state-near-texas/,1/23/2021 0:00,Breitbart,6
China Quarantines Two More Cities in Attempt to Stem Coronavirus Outbreak,https://www.theepochtimes.com/china-quarantines-three-cities-in-attempt-to-stem-coronavirus-outbreak_3213585.html,1/23/2021 0:00,Epoch Times,318
Four People Being Tested for Chinese Coronavirus in Scotland,http://feedproxy.google.com/~r/breitbart/~3/8q6IPsYz-MU/,1/23/2021 0:00,Breitbart,0
People who had contact with man with virus to be monitored | Fox Business,https://www.foxbusiness.com/healthcare/people-who-had-contact-with-man-with-virus-to-be-monitored,1/22/2021 0:00,Fox News,10
Human-to-human transmission of coronavirus in China confirmed,https://www.foxnews.com/health/human-to-human-transmission-coronavirus-china-confirmed,1/20/2021 0:00,Fox News,109
China Says 'No Need to Panic' as Deadly Virus Goes International,http://feedproxy.google.com/~r/breitbart/~3/t5ERT4SDM64/,1/20/2021 0:00,Breitbart,0
"GE profit spikes, overcoming aviation drag | Fox Business",https://www.foxbusiness.com/markets/general-electric-coronavirus-earnings-q1-2020,1/15/2021 0:00,Fox News,13
Coronavirus sends Hong Kong economy to steepest plunge on record | Fox Business,https://www.foxbusiness.com/markets/coronavirus-hong-kong-gdp-economy-q1-2020,1/15/2021 0:00,Fox News,55
Chinese state media says cases of a previously unidentified viral pneumonia are caused by a new type,https://www.washingtontimes.com/news/2020/jan/8/chinese-state-media-says-cases-of-a-previously-uni/?utm_source=RSS_Feed&utm_medium=RSS,1/8/2021 0:00,Washington Times,0
"As coronavirus spreads, Tom Cotton calls for 'targeted travel ban'",https://www.foxnews.com/politics/as-coronavirus-spreads-tom-cotton-calls-for-targetedptravel-ban,1/28/2021 0:00,Fox News,392
,,,,
,,,,
,,,,
,Note: 1 Article was not used.,,,
